example_id,label
0,1
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,1
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,1
25,1
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,0
43,1
44,1
45,1
46,0
47,0
48,0
49,1
50,1
51,1
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,0
75,1
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,0
91,1
92,1
93,0
94,0
95,0
96,0
97,1
98,0
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,1
107,0
108,0
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,1
122,1
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,0
147,0
148,0
149,1
150,1
151,1
152,1
153,1
154,0
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,1
172,1
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,1
204,1
205,0
206,1
207,0
208,0
209,1
210,0
211,0
212,1
213,1
214,0
215,1
216,1
217,0
218,0
219,1
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,0
229,1
230,0
231,1
232,1
233,0
234,1
235,1
236,0
237,0
238,1
239,1
240,0
241,1
242,1
243,0
244,0
245,1
246,1
247,0
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,0
256,0
257,1
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,1
321,1
322,1
323,1
324,0
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,0
340,1
341,1
342,1
343,1
344,0
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,1
353,1
354,0
355,1
356,1
357,0
358,1
359,0
360,0
361,1
362,1
363,0
364,0
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,0
396,1
397,1
398,1
399,1
400,0
401,1
402,1
403,0
404,0
405,1
406,0
407,0
408,1
409,0
410,1
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,0
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,1
440,1
441,1
442,0
443,0
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,0
452,0
453,1
454,1
455,0
456,1
457,0
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,0
466,1
467,0
468,0
469,0
470,0
471,1
472,0
473,0
474,1
475,0
476,1
477,0
478,0
479,1
480,0
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,1
489,1
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,0
502,1
503,0
504,1
505,1
506,1
507,1
508,0
509,1
510,1
511,1
512,0
513,0
514,0
515,1
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,1
527,1
528,1
529,0
530,0
531,0
532,1
533,1
534,1
535,0
536,1
537,1
538,1
539,0
540,1
541,0
542,1
543,0
544,0
545,1
546,1
547,0
548,0
549,1
550,0
551,1
552,0
553,1
554,0
555,0
556,1
557,0
558,1
559,1
560,1
561,1
562,1
563,0
564,1
565,0
566,1
567,0
568,1
569,0
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,0
579,0
580,1
581,1
582,1
583,1
584,0
585,0
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,0
594,1
595,1
596,0
597,0
598,1
599,1
600,0
601,0
602,1
603,0
604,1
605,1
606,1
607,1
608,0
609,0
610,0
611,1
612,1
613,0
614,1
615,0
616,0
617,1
618,1
619,1
620,0
621,0
622,1
623,1
624,1
625,0
626,0
627,1
628,0
629,0
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,0
638,0
639,1
640,0
641,0
642,1
643,1
644,1
645,0
646,1
647,1
648,1
649,1
650,0
651,1
652,1
653,0
654,0
655,0
656,1
657,0
658,1
659,0
660,1
661,1
662,0
663,1
664,0
665,1
666,1
667,0
668,1
669,0
670,0
671,0
672,0
673,1
674,1
675,1
676,1
677,0
678,0
679,1
680,1
681,0
682,0
683,1
684,1
685,1
686,0
687,1
688,0
689,1
690,1
691,1
692,0
693,0
694,0
695,0
696,1
697,0
698,1
699,1
700,1
701,1
702,0
703,1
704,0
705,1
706,1
707,0
708,0
709,1
710,0
711,1
712,0
713,1
714,0
715,1
716,1
717,1
718,0
719,0
720,0
721,1
722,1
723,0
724,1
725,0
726,0
727,1
728,0
729,0
730,1
731,1
732,1
733,0
734,1
735,0
736,0
737,0
738,1
739,0
740,0
741,1
742,1
743,1
744,0
745,0
746,0
747,1
748,1
749,1
750,1
751,0
752,1
753,1
754,0
755,0
756,1
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,0
765,1
766,1
767,1
768,0
769,1
770,1
771,1
772,0
773,0
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,0
782,1
783,1
784,0
785,1
786,0
787,1
788,0
789,0
790,0
791,0
792,0
793,1
794,1
795,1
796,1
797,0
798,1
799,0
800,0
801,1
802,0
803,0
804,1
805,1
806,0
807,0
808,1
809,0
810,1
811,0
