label,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
1,1.0,1.0,30.0,29.0,29.0,23.0,20.0,16.0,10.921282,5.193938,0.418763,0.0,0.0,0.0,0.0,0.0,0.498399,0.144895,1.0
-1,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,51.24685,27.522504,4.90225,0.468709,0.013132,0.00303,0.0,0.0,0.481214,0.112126,0.0
-1,1.0,1.0,9.0,9.0,9.0,7.0,6.0,5.0,23.399496,5.309282,0.7176,0.054538,0.00287,0.001914,0.001914,0.001914,0.544008,0.09281,0.0
1,1.0,1.0,57.0,49.0,38.0,29.0,24.0,15.0,118.942013,33.33793,9.652468,1.566272,0.061442,0.008058,0.001007,0.0,0.485307,0.10979,1.0
-1,1.0,1.0,15.0,15.0,14.0,13.0,12.0,11.0,35.933865,13.703305,2.400188,0.307743,0.017497,0.0,0.0,0.0,0.515003,0.119392,0.0
-1,1.0,1.0,48.0,48.0,47.0,44.0,41.0,32.0,24.40673,10.569442,1.655585,0.151633,0.004642,0.0,0.0,0.0,0.526188,0.117593,0.0
-1,1.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,98.774489,21.926632,8.743269,0.361858,0.005868,0.001956,0.000978,0.000978,0.515585,0.096821,1.0
1,1.0,1.0,59.0,59.0,58.0,57.0,54.0,46.0,12.724804,2.423919,0.571242,0.060212,0.004632,0.0,0.0,0.0,0.548012,0.098809,0.0
1,1.0,1.0,9.0,9.0,8.0,7.0,7.0,4.0,145.891998,17.009009,7.40022,0.954294,0.001045,0.0,0.0,0.0,0.532231,0.093025,1.0
1,1.0,1.0,43.0,42.0,42.0,40.0,39.0,34.0,21.612661,9.669272,0.903438,0.274757,0.128841,0.082272,0.066749,0.058987,0.541183,0.099347,0.0
1,1.0,1.0,35.0,31.0,28.0,25.0,20.0,16.0,52.805279,27.866246,6.442991,2.395844,1.124092,0.566725,0.217331,0.142461,0.555322,0.115425,0.0
1,1.0,1.0,66.0,55.0,45.0,35.0,24.0,11.0,151.05963,79.958925,49.216608,25.911411,16.426327,7.901811,3.525199,1.083237,0.44968,0.07381,1.0
-1,1.0,1.0,87.0,82.0,80.0,77.0,72.0,46.0,30.017629,6.742002,2.193125,0.26175,0.0,0.0,0.0,0.0,0.516769,0.100673,0.0
